filename	lane_id	seq_id	sample_id	Count	batch
WTCHG_356244_201191	356244	201191	BHM00040	7521478	1
WTCHG_356244_202179	356244	202179	BHM00039	7698438	1
WTCHG_356244_203167	356244	203167	BHM00013	7022276	1
WTCHG_356244_204155	356244	204155	BHM00073	6415583	1
WTCHG_356244_205143	356244	205143	BHM00081	6442487	1
WTCHG_356244_206131	356244	206131	BHM00085	7013604	1
WTCHG_356244_207119	356244	207119	BHM00101	6594576	1
WTCHG_356244_208107	356244	208107	BHM00011	6875971	1
WTCHG_356244_209190	356244	209190	BHM00034	915	1
WTCHG_356244_210178	356244	210178	BHM00077	7262021	1
WTCHG_356244_211166	356244	211166	BHM00033	7435459	1
WTCHG_356244_212154	356244	212154	BHM00076	7192165	1
WTCHG_356244_213142	356244	213142	BHM00086	7690336	1
WTCHG_356244_214130	356244	214130	BHM00092	7285672	1
WTCHG_356244_215118	356244	215118	BHM00094	6328662	1
WTCHG_356244_216106	356244	216106	BHM00100	6387081	1
WTCHG_356244_217189	356244	217189	BHM00103	5751319	1
WTCHG_356244_218177	356244	218177	BHM00108	6367502	1
WTCHG_356244_219165	356244	219165	BHM00109	861	1
WTCHG_356244_220153	356244	220153	BHM00110	7167247	1
WTCHG_356244_257196	356244	257196	BHM00018	6099994	1
WTCHG_356244_258184	356244	258184	BHM00027	5020616	1
WTCHG_356244_259172	356244	259172	BHM00017	5185084	1
WTCHG_356244_260160	356244	260160	BHM00032	5738223	1
WTCHG_356244_261148	356244	261148	BHM00061	5603633	1
WTCHG_356244_262136	356244	262136	BHM00078	5107587	1
WTCHG_356244_263124	356244	263124	BHM00087	5821024	1
WTCHG_356244_264112	356244	264112	BHM00009	5258091	1
WTCHG_356244_265195	356244	265195	BHM00014	5446897	1
WTCHG_356244_266183	356244	266183	BHM00072	5277660	1
WTCHG_356244_267171	356244	267171	BHM00071	6464157	1
WTCHG_356244_268159	356244	268159	BHM00064	6215870	1
WTCHG_356244_269147	356244	269147	BHM00088	6174781	1
WTCHG_356244_270135	356244	270135	BHM00012	6184179	1
WTCHG_356244_271123	356244	271123	BHM00003	5910874	1
WTCHG_356244_272111	356244	272111	BHM00024	6984200	1
WTCHG_356244_273194	356244	273194	BHM00051	6716554	1
WTCHG_356244_274182	356244	274182	BHM00079	6478384	1
WTCHG_356244_275170	356244	275170	BHM00042	6274785	1
WTCHG_356244_276158	356244	276158	BHM00095	5726783	1
WTCHG_356244_277146	356244	277146	BHM00090	6125942	1
WTCHG_356244_278134	356244	278134	BHM00026	2520	1
WTCHG_356244_279122	356244	279122	BHM00036	6747607	1
WTCHG_356244_280110	356244	280110	BHM00070	6570885	1
WTCHG_356244_281193	356244	281193	BHM00093	6403212	1
WTCHG_356244_282181	356244	282181	BHM00025	6276043	1
WTCHG_356244_283169	356244	283169	BHM00028	4758829	1
WTCHG_356244_284157	356244	284157	BHM00020	6879049	1
WTCHG_356244_285145	356244	285145	BHM00063	6417106	1
WTCHG_356244_286133	356244	286133	BHM00065	5697194	1
WTCHG_356244_287121	356244	287121	BHM00098	6083737	1
WTCHG_356244_288109	356244	288109	BHM00035	7039475	1
WTCHG_356244_289192	356244	289192	BHM00005	6350381	1
WTCHG_356244_290180	356244	290180	BHM00080	6495057	1
WTCHG_356244_291168	356244	291168	BHM00041	1791	1
WTCHG_356244_292156	356244	292156	BHM00069	6525524	1
WTCHG_356244_293144	356244	293144	BHM00066	6823807	1
WTCHG_356244_294132	356244	294132	BHM00084	6704636	1
WTCHG_356244_295120	356244	295120	BHM00099	6754032	1
WTCHG_356244_296108	356244	296108	BHM00007	7191289	1
WTCHG_356245_201191	356245	201191	BHM00040	7548847	1
WTCHG_356245_202179	356245	202179	BHM00039	7779264	1
WTCHG_356245_203167	356245	203167	BHM00013	7088780	1
WTCHG_356245_204155	356245	204155	BHM00073	6474677	1
WTCHG_356245_205143	356245	205143	BHM00081	6490406	1
WTCHG_356245_206131	356245	206131	BHM00085	7059529	1
WTCHG_356245_207119	356245	207119	BHM00101	6650268	1
WTCHG_356245_208107	356245	208107	BHM00011	6908489	1
WTCHG_356245_209190	356245	209190	BHM00034	927	1
WTCHG_356245_210178	356245	210178	BHM00077	7345086	1
WTCHG_356245_211166	356245	211166	BHM00033	7481079	1
WTCHG_356245_212154	356245	212154	BHM00076	7263574	1
WTCHG_356245_213142	356245	213142	BHM00086	7754314	1
WTCHG_356245_214130	356245	214130	BHM00092	7352192	1
WTCHG_356245_215118	356245	215118	BHM00094	6397282	1
WTCHG_356245_216106	356245	216106	BHM00100	6433237	1
WTCHG_356245_217189	356245	217189	BHM00103	5808969	1
WTCHG_356245_218177	356245	218177	BHM00108	6438831	1
WTCHG_356245_219165	356245	219165	BHM00109	805	1
WTCHG_356245_220153	356245	220153	BHM00110	7236440	1
WTCHG_356245_257196	356245	257196	BHM00018	6160000	1
WTCHG_356245_258184	356245	258184	BHM00027	5068331	1
WTCHG_356245_259172	356245	259172	BHM00017	5213622	1
WTCHG_356245_260160	356245	260160	BHM00032	5801980	1
WTCHG_356245_261148	356245	261148	BHM00061	5663027	1
WTCHG_356245_262136	356245	262136	BHM00078	5154591	1
WTCHG_356245_263124	356245	263124	BHM00087	5864736	1
WTCHG_356245_264112	356245	264112	BHM00009	5291196	1
WTCHG_356245_265195	356245	265195	BHM00014	5494374	1
WTCHG_356245_266183	356245	266183	BHM00072	5342818	1
WTCHG_356245_267171	356245	267171	BHM00071	6510629	1
WTCHG_356245_268159	356245	268159	BHM00064	6284324	1
WTCHG_356245_269147	356245	269147	BHM00088	6222568	1
WTCHG_356245_270135	356245	270135	BHM00012	6226135	1
WTCHG_356245_271123	356245	271123	BHM00003	5941499	1
WTCHG_356245_272111	356245	272111	BHM00024	7037991	1
WTCHG_356245_273194	356245	273194	BHM00051	6755608	1
WTCHG_356245_274182	356245	274182	BHM00079	6546843	1
WTCHG_356245_275170	356245	275170	BHM00042	6332305	1
WTCHG_356245_276158	356245	276158	BHM00095	5783790	1
WTCHG_356245_277146	356245	277146	BHM00090	6170580	1
WTCHG_356245_278134	356245	278134	BHM00026	2449	1
WTCHG_356245_279122	356245	279122	BHM00036	6774546	1
WTCHG_356245_280110	356245	280110	BHM00070	6633691	1
WTCHG_356245_281193	356245	281193	BHM00093	6468231	1
WTCHG_356245_282181	356245	282181	BHM00025	6299286	1
WTCHG_356245_283169	356245	283169	BHM00028	4759908	1
WTCHG_356245_284157	356245	284157	BHM00020	6945167	1
WTCHG_356245_285145	356245	285145	BHM00063	6452011	1
WTCHG_356245_286133	356245	286133	BHM00065	5774041	1
WTCHG_356245_287121	356245	287121	BHM00098	6143975	1
WTCHG_356245_288109	356245	288109	BHM00035	7089610	1
WTCHG_356245_289192	356245	289192	BHM00005	6430905	1
WTCHG_356245_290180	356245	290180	BHM00080	6531658	1
WTCHG_356245_291168	356245	291168	BHM00041	1774	1
WTCHG_356245_292156	356245	292156	BHM00069	6597712	1
WTCHG_356245_293144	356245	293144	BHM00066	6888785	1
WTCHG_356245_294132	356245	294132	BHM00084	6784105	1
WTCHG_356245_295120	356245	295120	BHM00099	6832590	1
WTCHG_356245_296108	356245	296108	BHM00007	7223823	1
WTCHG_356246_201191	356246	201191	BHM00040	7482754	1
WTCHG_356246_202179	356246	202179	BHM00039	7910096	1
WTCHG_356246_203167	356246	203167	BHM00013	7124191	1
WTCHG_356246_204155	356246	204155	BHM00073	6505487	1
WTCHG_356246_205143	356246	205143	BHM00081	6483303	1
WTCHG_356246_206131	356246	206131	BHM00085	7026242	1
WTCHG_356246_207119	356246	207119	BHM00101	6683033	1
WTCHG_356246_208107	356246	208107	BHM00011	6886127	1
WTCHG_356246_209190	356246	209190	BHM00034	912	1
WTCHG_356246_210178	356246	210178	BHM00077	7475412	1
WTCHG_356246_211166	356246	211166	BHM00033	7494595	1
WTCHG_356246_212154	356246	212154	BHM00076	7321569	1
WTCHG_356246_213142	356246	213142	BHM00086	7785021	1
WTCHG_356246_214130	356246	214130	BHM00092	7397371	1
WTCHG_356246_215118	356246	215118	BHM00094	6464218	1
WTCHG_356246_216106	356246	216106	BHM00100	6411373	1
WTCHG_356246_217189	356246	217189	BHM00103	5838370	1
WTCHG_356246_218177	356246	218177	BHM00108	6519245	1
WTCHG_356246_219165	356246	219165	BHM00109	889	1
WTCHG_356246_220153	356246	220153	BHM00110	7317223	1
